Total Records: 2000
E,n,d,P,O,I,N,T,:, ,h,t,t,p,s,:,/,/,a,u,s,t,r,a,l,i,a,s,o,u,t,h,e,a,s,t,.,s,n,o,w,s,o,f,t,w,a,r,e,.,i,o,/,a,p,i,/,s,a,m,/,v,1,/,o,r,a,c,l,e,/,d,a,t,a,b,a,s,e,/,i,n,s,t,a,l,l,a,t,i,o,n,s
_links,databaseName,id,isDataGuard,isRac,productId,productVersion,scanDate
"[{'href': '/api/sam/v1/oracle/database/installations/23a8e31d-51a4-46ec-b7a0-94e4302e4578', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS556,23a8e31d-51a4-46ec-b7a0-94e4302e4578,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-07T21:16:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/73314e99-9538-4f2f-87ea-51bdf9c82032', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS557,73314e99-9538-4f2f-87ea-51bdf9c82032,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-06T21:21:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/8b36af9b-6313-4afe-adab-ba7b40ff03ee', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS558,8b36af9b-6313-4afe-adab-ba7b40ff03ee,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:40:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/3a57094b-a9b1-45f1-8d1c-5bc26127fa0d', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS560,3a57094b-a9b1-45f1-8d1c-5bc26127fa0d,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-02-21T21:57:46.88Z
"[{'href': '/api/sam/v1/oracle/database/installations/96ba5667-dc19-4d39-9e88-d98040181573', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS561,96ba5667-dc19-4d39-9e88-d98040181573,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:47:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/f89c5574-d48f-4efc-a920-b5c2d8c2afb1', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS564,f89c5574-d48f-4efc-a920-b5c2d8c2afb1,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-07T21:29:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/f4217021-e7da-4940-8f33-bed5c4a7f54c', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS565,f4217021-e7da-4940-8f33-bed5c4a7f54c,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-06T21:50:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/bd60b89c-546e-4f40-8c9d-ea7bf48a13a8', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS566,bd60b89c-546e-4f40-8c9d-ea7bf48a13a8,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-02T21:07:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/7d617bc8-306f-4052-b1ec-aef57c8d4ef9', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS570,7d617bc8-306f-4052-b1ec-aef57c8d4ef9,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-06T21:13:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/d2b6c899-7867-421b-8231-6bcd244a331f', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS571,d2b6c899-7867-421b-8231-6bcd244a331f,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-06T21:38:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/43c90471-e9e7-41f5-9059-17d7d36f6f1a', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS572,43c90471-e9e7-41f5-9059-17d7d36f6f1a,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,12.1.0.2.0,2026-06-06T21:33:23Z
"[{'href': '/api/sam/v1/oracle/database/installations/f5c0831e-c84a-47a0-b121-53cf33866de4', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS573,f5c0831e-c84a-47a0-b121-53cf33866de4,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-06T21:06:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/61b9bc2f-abec-4183-81f3-6fdd030a5968', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS574,61b9bc2f-abec-4183-81f3-6fdd030a5968,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-05-28T21:35:25Z
"[{'href': '/api/sam/v1/oracle/database/installations/e2224aef-03d3-421a-825b-81cc875f6eee', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS575,e2224aef-03d3-421a-825b-81cc875f6eee,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-05T21:29:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/d60d23bf-1fde-482c-b133-6e51784fb4ba', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS579,d60d23bf-1fde-482c-b133-6e51784fb4ba,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-05T21:41:23Z
"[{'href': '/api/sam/v1/oracle/database/installations/c8706f91-1cb5-4efb-93fd-11247d07145b', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS581,c8706f91-1cb5-4efb-93fd-11247d07145b,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-02-17T21:49:29.47Z
